tema_canonico,disciplina,especialidade,unidade,prioridade,forca_fonte,risco_clinico,evidencia_de_prova,source_ids,nota
Uropatologia: HPB e câncer de próstata (anatomia patológica),EISA_II,Patologia,II_UNIDADE,alta,forte,medio,True,APOSTILA_SA_II_P7___e43cc7bc21|HPB_e_ca_ncer_de_pro_stata_anatomia_patolo_gica_II_unidade__120e76f18e|Patololgia_PATOLOGIA_DA_HPB_E_CA_DE_PRO_STATA__196593d772|UROPATOLOGIA_2022__01de88df4a|resumed_sa_de_do_adulto_2__f8fd0b8d31,"A pasta PATOLOGIA tem uma única pasta 'Slides aulas' com 1 arquivo. Os demais 'resumos de Patologia' são duplicatas de Urologia/Oncologia. | LACUNA DE EIXO: a especialidade PATOLOGIA em EISA II NÃO tem pastas de prova (só 'Resumos' e 'Slides aulas /UROPATOLOGIA 2022.pdf'), então a unidade II vem exclusivamente da árvore Resumos das Unidades, sem corroboração independente."
Bexiga neurogênica,EISA_II,Urologia,A_DEFINIR,media,media,alto,False,APOSTILA_SA_II_P7___e43cc7bc21|BEXIGA_NEUROGA_NICA_ATUALIZADA_Luiz_Luna__00b75194d2|Bexiga_neuroge_nica__d255c01ebc|Uro_BEXIGA_NEUROGA_NICA__6bd4d01ade,Slide do Dr. Luiz Luna (38 pg) ESCANEADA — só títulos. Risco alto por hidronefrose/DRC secundária e por retenção.
Câncer de testículo,EISA_II,Urologia,A_DEFINIR,media,media,alto,False,C_ncer_de_Test_culo_docx__67d4fd1f6c|C_ncer_urol_gico_Onco_docx__bedb200d2e|Onco_NEOPLASIAS_UROLO_GICAS__66462ee210|Urologia_CA_NCER_DE_TESTI_CULO__2d3b7d9fc1|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Ausência no sumário da apostila é um sinal a investigar, não a ignorar. Risco alto: é o tumor sólido mais frequente dos 15-35 anos e curável (98% em T1). | LACUNA DE UNIDADE. É o tumor sólido mais comum do homem jovem — a ausência do mapeamento de unidade é relevante para o Plano de Guerra."
Hiperplasia prostática benigna (clínica e tratamento),EISA_II,Urologia,I_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|AULA_HPB_ATUALIZADA_POWER_POINT__1770a91b62|HPB__e82ef1bb0e|HPB_pdf__fbcd79437f|Hiperplasia_Prosta_tica_pdf__9fc1d2150c|Hiperplasia_prost_tica__ed530b4de1|Hiperplasia_prosta_tica_benigna_I_unidade__241c087b80|Hiperplasia_prosta_tica_benigna__622ecccb66|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Distinguir do tema de Patologia (uropatologia da HPB), que a árvore põe na II UNIDADE — ver conflito registrado. | O slide do Dr. Luiz Luna (71 pg) é ESCANEADA e só recuperou títulos — exige VISÃO. Compensado por 6 resumos NATIVOS. Referência oficial: guideline EAU."
Litíase urinária,EISA_II,Urologia,II_UNIDADE,alta,media,alto,True,1_LitA_ase_urinA_ria__aaca8de431|APOSTILA_SA_II_P7___e43cc7bc21|Liti_ase_Urina_ria_pdf__54fab59ea6|Liti_ase_urina_ria_II_unidade__6a41fd7eef|Uro_Liti_ase_Urina_ria__f6b2b3a7f8,"LACUNA DE CORROBORAÇÃO: não há slide de litíase em nenhuma pasta de prova de EISA II/UROLOGIA (só em Resumos). Unidade II sustentada apenas pela árvore Resumos + banner interno. | LACUNA: nenhum slide de aula em nenhuma pasta de prova, apesar de 2 questões numa única avaliação. Liti_ase_Urina_ria_pdf está cross-filed em NEFROLOGIA/Resumos mas o cabeçalho diz 'Urologia'. Sepse obstrutiva é a emergência associada."
Neoplasia vesical,EISA_II,Urologia,III_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|NEOPLASIA_VESICAL_URO_Larissa_Pinheiro__2de53fcf0a|NEOPLASIA_VESICAL_WILMAVIVIANE__ac2bfe689a|Neoplasia_Vesical__5c4780f6ad|Uro_NEOPLASIA_VESICAL__accd237294|Urologia_Neoplasia_vesical__28a519202e|Urologia_Neoplasia_vesical__d000d7d497,LACUNA: nenhum slide de aula. Urologia_Neoplasia_vesical aparece 2x (.docx e .pdf) com o mesmo texto. Referência oficial: guideline EAU.
Patologias penianas e escrotais,EISA_II,Urologia,III_UNIDADE,alta,fraca,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA CRÍTICA. Cinco questões identificadas em duas devolutivas e uma única fonte (apostila p.140). Torção testicular é emergência de janela de 6h. Referência oficial: Nelson Rodrigues + diretrizes MS de IST. | LACUNA DE UNIDADE + LACUNA DE CONTEÚDO (só a parte I existe no compilado). Se este capítulo cobrir torção testicular, o risco clínico é ALTO (janela de 6h) — não pude confirmar sem ler o capítulo inteiro."
Trauma urogenital,EISA_II,Urologia,III_UNIDADE,alta,media,alto,True,4_Trauma_Urogenital___2ef81514cc|ANOTAC_O_ES_trauma_urogenital__1289c8c631|APOSTILA_SA_II_P7___e43cc7bc21|Trauma_Genitourin_rio_Ficha_Resumo__b2e7a9ef06|Trauma_urogenital__b07166e041|Uro_TRAUMA_UROGENITAL__e578876e7e|resumed_sa_de_do_adulto_2__f8fd0b8d31,CONFLITO DE UNIDADE: pasta/banner = III UNIDADE/Urologia; EISA II/UROLOGIA/Slides PRIMEIRA Prova/'4. Trauma Urogenital .pdf'. III vs I. RESUmed cap. 13. | O slide (40 pg) é ESCANEADA de MANUSCRITO — os 4.107 chars são OCR corrompido e NÃO devem ser citados. Referência oficial: Nelson Rodrigues.
Tumores renais e carcinoma de células renais (CCR),EISA_II,Urologia,II_UNIDADE,alta,media,medio,True,ANOTAC_O_ES_carcinoma_de_ce_lulas_renais__f59012752a|APOSTILA_SA_II_P7___e43cc7bc21|C_ncer_urol_gico_Onco_docx__bedb200d2e|Onco_NEOPLASIAS_UROLO_GICAS__66462ee210|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Nenhum slide de aula. A melhor fonte (ANOTAÇÕES - carcinoma de células renais, NATIVA) está FORA do dossiê. Li: 90% das neoplasias renais, deleção do braço curto do cromossomo 3, 60% achado incidental, mais letal dos tumores urológicos. | Arquivo sem banner interno de unidade — unidade vem só da pasta II UNIDADE/UROLOGIA. RESUmed cap. 23 (CÂNCER RENAL) reforça. Sem slide em pasta de prova de EISA II/UROLOGIA para corroborar."
Urologia feminina: infecção urinária e incontinência,EISA_II,Urologia,III_UNIDADE,alta,media,alto,False,UROLOGIA_FEMININA_INFECC_A_O_E_INCONTINE_NCIA_URINA_RIAS__bbdee85aaf|UROLOGIA_FEMININA__592da80b07,"Slide (68 pg) ESCANEADA — só títulos, exige VISÃO. O resumo dá durações de tratamento (3-5 dias cistite, 10-14 dias pielonefrite). Ausência na apostila é um dado a explicar, não a ignorar."
Infecções sexualmente transmissíveis (IST),EISA_II,Urologia/Infectologia,II_UNIDADE,alta,media,alto,True,ANOTAC_O_ES_IST__a05a9c13fa|APOSTILA_SA_II_P7___e43cc7bc21|DST_pdf__9fcaa44f60|IST_ATUALIZADA_POWER_POINT_Luiz_Luna__8331d211b3|Uro_DOENA_A_SEXUALMENTE_TRANSMISSA_VEL__077fa8ae91|resumed_sa_de_do_adulto_2__f8fd0b8d31,"CONFLITO DE UNIDADE: pasta Resumos = II UNIDADE/UROLOGIA (banner interno concorda); EISA II/UROLOGIA/Slides Aulas /Slides TERCEIRA Prova/'IST-ATUALIZADA POWER POINT'. II vs III. | Erro que mata (declarado na devolutiva 2023.1): lesão ulcerada peniana persistente NÃO pode ser tratada como IST antes de excluir câncer de pênis por biópsia. CONFLITO DE UNIDADE: slide em 'Terceira Prova' vs ANOTAÇÕES rotuladas 'II unidade'. | FATO: conteúdo é uretrite gonocócica/não gonocócica em perspectiva urológica adulta ('urologista não trata a parceira'). Possui interface tangencial com 'IST na adolescência', mas não é aula de pediatria. RECOMENDAÇÃO ao sintetizador: realocar este source_id para a frente de Urologia."
Câncer de próstata,EISA_II,Urologia/Oncologia,III_UNIDADE,alta,forte,medio,True,ANOTAC_O_ES_ca_ncer_de_pro_stata__6614a32c87|APOSTILA_SA_II_P7___e43cc7bc21|CA_pr_stata_Ficha_Resumo__7b487917b2|C_NCER_DE_PR_STATA_WILMA_VIVIANE__d002cb4f86|C_ncer_de_pr_stata_docx_1___65bad8b9a8|C_ncer_de_pr_stata_docx__6daea1f774|C_ncer_urol_gico_Onco_docx__bedb200d2e|NEOPLASIA_DE_PROSTATA_RESUMIDA__58cfadd4e2|Onco_NEOPLASIAS_UROLO_GICAS__66462ee210|Urologia_CA_NCER_DE_PRO_STATA__ec4ee2ece9|resumed_sa_de_do_adulto_2__f8fd0b8d31,"CONFLITO DE UNIDADE: pasta/banner = III UNIDADE/Urologia; EISA II/UROLOGIA/Slides SEGUNDA Prova/'NEOPLASIA DE PROSTATA RESUMIDA.pptx'. III vs II. RESUmed cap. 11. Este tema aparece em TRÊS pastas distintas da árvore de disciplinas (UROLOGIA, ONCOLOGIA e PATOLOGIA) — é o tema mais duplicado do P7. | C_ncer_de_pr_stata_docx (UROLOGIA) e C_ncer_de_pr_stata_docx_1 (PATOLOGIA) são DUPLICATA EXATA (4.322 chars) — não contar como 2 coberturas."
"Atopias na infância (hipersensibilidade tipo I, rinite alérgica, dermatite atópica, urticária/angioedema, alergia alimentar, anafilaxia)",EISCA,Alergia e imunologia pediátrica,II_UNIDADE,alta,media,alto,True,ATOPIAS_WILMA_VIVIANE__307e0bc84f|ATOPIAS_na_infancia_1__db787ace52|Atopias_II_unidade__d605add965|Atopias_na_InfA_ncia__ebd46e16a7,"FATO: fases da reação tipo I (precoce até 10min / tardia 6-24h / remodelamento dias-anos); eosinofilia >450/mL; RAST/ImmunoCAP; padrão-ouro = provocação duplo-cego placebo-controlado. RISCO ALTO: ADRENALINA 1:1000, 0,01 mL/kg na anafilaxia — dose citada explicitamente no slide. A mesma professora dá Asma (III unidade), então há continuidade conceitual TH2 entre as duas aulas. | CONFLITO DE UNIDADE: o arquivo está em II UNIDADE/PEDIATRIA e o banner interno confirma 'SAÚDE DA CRIANÇA – PEDIATRIA – II UNIDADE', mas o keyword 'atopia/urticária' só bateu em prova da TERCEIRA prova de EISCA. Evidênc"
Cardiopatias congênitas,EISCA,Cardiologia pediátrica / Neonatologia,A_DEFINIR,media,media,alto,False,AtualizeA5N6__cd97472180,"FATO: três textos — (1) bases do diagnóstico na consulta pediátrica, (2) quando encaminhar ao cardiologista pediátrico, (3) cardiopatia congênita em pós-operatório. Menciona teste do coraçãozinho (saturação no berçário), sopros e cianose, e que alguns RN são assintomáticos na fase inicial. RISCO ALTO: cardiopatia ducto-dependente descompensa no fechamento do canal arterial — tempo-dependente. LACUNA: não há aula dedicada de cardiopatias congênitas em nenhuma pasta de prova."
Febre reumática,EISCA,Cardiologia pediátrica / Reumatologia pediátrica,III_UNIDADE,alta,forte,alto,False,Cardio_GUIA_DE_BOLSO_Diretrizes_Febre_Reumatica__4226a18dd2|Febre_ReumA_tica__0d0b6f3c26|Febre_Reuma_tica__2ada2e3cf7|Febre_Reuma_tica__57c88ce896|febre_reum_tica__4f900af65e,"FATO: o capítulo do Tratado traz o Quadro 2 comparando Jones 1992 x Jones 2015 (baixo risco x ALTO RISCO). Brasil é população de ALTO RISCO: monoartrite/poliartralgia conta como critério MAIOR, febre >=38 °C e VHS >=30 mm/h como menores. ASO normal em até 20% dos casos de FR (pesquisar anti-DNase B). RISCO ALTO: profilaxia secundária prolongada com penicilina benzatina — duração depende de haver cardite/sequela. Ver CONFLITO sobre versões dos critérios de Jones."
Obstrução de via aérea alta: laringite viral (crupe) versus epiglotite,EISCA,Emergência pediátrica / Otorrinolaringologia pediátrica,II_UNIDADE,alta,forte,alto,False,IVAS__c9c0ca127f,"FATO: Crupe = parainfluenza I e II/VSR, início insidioso, tosse rouca, estridor, Rx com estreitamento subglótico ('sinal da torre da igreja'); tratamento dexametasona 0,15 mg/kg VO ou IM DU + inalação com adrenalina. Epiglotite = H. influenzae, início abrupto, febre alta, disfagia, sialorreia, voz abafada, Rx 'sinal do polegar'; conduta = INTUBAÇÃO IMEDIATA + ceftriaxona 100 mg/kg/dia (o slide também cita cloranfenicol). RISCO MÁXIMO: adiar exame de laringe na epiglotite até haver recurso cardiorrespiratório; examinar orofaringe pode precipitar obstrução total."
Obesidade na infância e adolescência (exógena e endógena),EISCA,Endocrinologia pediátrica / Nutrologia pediátrica,II_UNIDADE,alta,forte,medio,False,OBESIDADE_EXO_GENA_ALUNOS_Tratado_de_pediatria_2022__de111f3e83|Slides_Obesidade_Infantil__56efb4ca33|obesidade_endo_gena_p_alunos_Tratado_Pediatria_5a_ed_2022__4e14c0dd9f,"FATO: cap. 7 (exógena) cobre prevenção, comorbidades, mudança de estilo de vida, acompanhamento multidisciplinar; cap. 6 (endógena) cobre tecido adiposo como órgão endócrino, sinais que sugerem etiologia endógena vs exógena, obesidade monogênica. O eixo de prova é o DIFERENCIAL: baixa estatura + obesidade sugere causa endógena/hormonal; alta estatura + obesidade sugere exógena. Slides_Obesidade_Infantil é OCR de anotação manuscrita (2258 chars de ruído) — inutilizável, ver conflitos."
"Diarreia aguda, desidratação e terapia de reidratação (Planos A, B e C)",EISCA,Gastroenterologia pediátrica,I_UNIDADE,alta,forte,alto,True,DIARRA_IAS_material_para_estudo_AVA_docx__1485e3fd8d|FACILITA_OSCE_1___6c6a714b3e|OSCE_PEDIATRIA__13530307b6|OSCE___42cf2d83f0|diarreia_e_DHE__35f8e57446|manejo_do_paciente_com_diarreia_avaliacao_do_estad_240912_14__d02d8d34b1,"FATO (li integralmente): Plano A (zinco <6m 10mg/dia, >=6m 20mg/dia por 14 dias; SRO 50-100mL <1a, 100-200mL 1-10a), Plano B (SRO 50-100 mL/kg em 4-6h; ondansetrona 0,2 mg/kg), Plano C expansão (<1 ano: SF/RL 30 mL/kg em 1h + 70 mL/kg em 5h; >1 ano: 30 mL/kg em 30min + 70 mL/kg em 2h30; RN e cardiopata grave 10 mL/kg em 30min). ATB só em cólera/disenteria/mau estado geral. RISCO MÁXIMO: volumes e tempos de expansão são exatamente o tipo de item onde errar mata. | FATO (protocolo MS): tabela OBSERVE/EXPLORE/DECIDA com estado geral, olhos, sede, lágrimas, boca/língua, sinal da prega, pulso e perda de peso; dois ou mais sinais = desidratação, dois ou mais com pelo menos um asterisco (comatoso/incapaz de beber/pulso fraco ou ausente) = desidratação grave → PLANO C. Disenteria com comprometimen"
"Adolescência, puberdade e semiologia do adolescente",EISCA,Hebiatria / Pediatria geral,I_UNIDADE,media,fraca,baixo,True,Anotac_o_es_semiologia_do_adolescente__bcd52a9267|Pediatria_ADOLESCA_NCIA__4300471fc6|Pediatria_ADOLESCE_NCIA__b3f42bd43e|Semiologia_do_adolescente_pdf__39a1dbc603,"FATO: OMS 10-19 anos; ECA (Lei 8069/90) 12-18 anos; internação pediátrica até 13a 11m 29d; hebiatria regulamentada pela SBP em 1998. Etapas inicial (10-14), média (15-17), tardia (18-20). Primeiros indícios da puberdade: protrusão do mamilo e aumento testicular. LACUNA: nenhuma das fontes legíveis traz as tabelas de estadiamento de Tanner com as 5 etapas descritas — isso é conteúdo classicamente cobrado e está ausente. | FATO: OMS 10–20a vs ECA 12–18a; puberdade menina 8–13, menino 9–14; primeiros indícios (protrusão de mamilo, aumento testicular); Tanner MP feminino e GP masculino; limite da confidencialidade. LACUNA: fonte fina demais para um tema com alto rendimento em prova."
Diagnóstico diferencial das anemias na infância,EISCA,Hematologia pediátrica,IV_UNIDADE,alta,forte,medio,False,Anemias_Tratado_de_ped_5_ed_2022__f301d00853|Anemias_na_infA_ncia__48379b722b,"FATO: anemia fisiológica do RN é normocrômica e normocítica; carência de ferro é a mais prevalente na infância; classificação fisiológica (produção diminuída / destruição / perdas) usada em conjunto com a morfológica (micro/normo/macrocítica). O resumo reforça: 'anemia NÃO é doença, é sinal — sempre investigar'."
Hemoglobinopatias (talassemias e doença falciforme),EISCA,Hematologia pediátrica,IV_UNIDADE,alta,forte,alto,False,Hemoglobinopatias_Tratado_de_ped_5_ed_2022__d2c3943546,"FATO: talassemias = deficiências seletivas na síntese de cadeias de globina; betatalassemia maior e hidropsia fetal (alfatalassemia) são o grau máximo; expressão fenotípica heterogênea. RISCO ALTO: as emergências da doença falciforme (crise vaso-oclusiva, sequestro esplênico agudo, síndrome torácica aguda, AVC, priapismo) e a profilaxia com penicilina são tempo-dependentes. LACUNA PARCIAL: não confirmei por leitura direta se este capítulo detalha as emergências falciformes ou se foca em talassemia — verificar antes de gerar cápsula."
Interpretação do hemograma e das provas de coagulação,EISCA,Hematologia pediátrica,IV_UNIDADE,alta,forte,medio,False,Interpretac_a_o_de_HMG_Tratado_de_ped_5_ed_2022__4dd5a3daa7,FATO: variação das três séries por faixa etária e fatores biológicos; alterações qualitativas e quantitativas; provas de coagulação. A IV unidade é claramente um bloco hematológico coeso (4 dos 9 arquivos são de hematologia) — a prova provavelmente integra hemograma + hipótese diagnóstica.
Anemia ferropriva,EISCA,Hematologia pediátrica / Nutrologia pediátrica,IV_UNIDADE,alta,forte,alto,False,Anemias_na_infA_ncia__48379b722b|SBP_Consenso_sobre_anemia_ferropriva__d93171e967,"RISCO ALTO por dose e por janela: doses profiláticas e terapêuticas de ferro elementar por kg diferem por faixa etária e por peso ao nascer (RNPT/BP têm esquema próprio); faixa de maior risco 6-24 meses; consequência de erro é dano cognitivo irreversível, não morte imediata. Estágios da depleção (ferritina -> ferro sérico/saturação -> Hb) são o esqueleto das questões de interpretação laboratorial."
Faringoamigdalite estreptocócica e escarlatina,EISCA,Infectologia pediátrica,II_UNIDADE,alta,forte,alto,False,IVAS__c9c0ca127f|Pediatria_DOENC_AS_EXANTEMA_TICAS__a3b8a89a0f,"FATO: tabela de diferenciação viral x estreptocócica (idade, início, tosse/rinorreia, exsudato, adenomegalia anterior dolorosa x posterior indolor). Penicilina benzatina <27kg 600.000 UI DU / >=27kg 1.200.000 UI DU; penicilina V oral 10 dias; amoxicilina 50 mg/kg/dia 10 dias. Escarlatina: sinal de Pastia (flexuras), sinal de Filatov (palidez perioral), língua em framboesa, descamação em dedos de luva. RISCO ALTO: tratar erradamente = febre reumática e GNDA."
Doenças exantemáticas,EISCA,Infectologia pediátrica / Dermatologia pediátrica,IV_UNIDADE,alta,media,alto,False,DOENCAS_EXANTEMATICAS__9adcf74177|Pediatria_DOENC_AS_EXANTEMA_TICAS__a3b8a89a0f,"FATO (resumo verificado): febres eruptivas numeradas (1ª sarampo, 2ª escarlatina, 3ª rubéola, 4ª Filatov-Dukes, 5ª eritema infeccioso, 6ª exantema súbito). Sarampo: Koplik precede o exantema, morbiliforme, início retroauricular, centrífugo, poupa palmas e plantas, descamação furfurácea; transmissibilidade 7 dias antes a 5 dias após; vacina de bloqueio até 72h do contato; complicações (encefalite 1/1000, PEES). Rubéola: linfadenopatia retroauricular e occipital, sem descamação. RISCO ALTO: sarampo é doença de notificação com bloqueio vacinal em 72h — janela temporal. PENDENTE VISÃO do deck de 7"
Parasitoses intestinais,EISCA,Infectologia pediátrica / Gastroenterologia pediátrica,III_UNIDADE,alta,forte,medio,False,Parasitose_intestinal_Tratado_SBP__acc38cf1bc|Parasitoses__1f90f057b1|parasitose_SBP__9bc72a9616,"FATO: o Guia SBP organiza epidemiologia, métodos diagnósticos e medicamentos de primeira e segunda escolha por parasita. RISCO MÉDIO-ALTO na prescrição: doses de albendazol/mebendazol/metronidazol/ivermectina por peso e faixa etária; contraindicações em <2 anos e gestantes. O slide do professor (Parasitoses__1f90f057b1, 24p) está ESCANEADA com 0 chars — a ênfase pessoal dele é desconhecida."
Meningites na criança,EISCA,Infectologia pediátrica / Neurologia pediátrica,IV_UNIDADE,alta,fraca,alto,False,Meningites__8f71393752,"Fontes adjacentes que tocam o tema sem cobri-lo: Pediatria_CONVULSA_O_FEBRIL__c54cea60f1 (indicações e CONTRAINDICAÇÕES de punção lombar), semio_PED__c241597932 (Kernig/Brudzinski/rigidez de nuca), Sepse_e_meningite_neonatal (só neonatal). PENDENTE VISÃO obrigatória e prioritária."
"Rinofaringite aguda, resfriado comum e gripe (influenza, COVID-19)",EISCA,Infectologia pediátrica / Pneumologia pediátrica,II_UNIDADE,alta,forte,alto,False,IVAS__c9c0ca127f,"FATO: AAS PROIBIDO (síndrome de Reye); descongestionante nasal tópico só >2 anos, nunca em lactentes, máx 5 dias; oseltamivir (inibidor da neuraminidase) VO iniciar em até 48h; antibiótico não indicado. RISCO ALTO por contraindicação (AAS, descongestionante em lactente) e janela terapêutica (48h do oseltamivir)."
Infecção do trato urinário na infância,EISCA,Nefrologia pediátrica / Infectologia pediátrica,III_UNIDADE,alta,forte,alto,False,ITU__aa10c88150|InfecA_A_o_do_trato_UrinA_rio__db7c831f2f,"FATO: E. coli 80-90%; lactente com febre >=38,5 °C sem foco = suspeitar de ITU. TEMPO-DEPENDENTE: tratamento iniciado em <72h reduz dano renal; atraso >72h é fator de risco para cicatriz. Urocultura padrão-ouro por método: jato médio >100.000 UFC/mL, cateterismo 1.000-50.000, punção suprapúbica qualquer crescimento. USG em TODOS após 1º episódio; DMSA em todo lactente com ITU febril, 3 meses após a cura; UCM só após término do tratamento. Internar <3 meses/toxemiado. Profilaxia: nitrofurantoína 1-2 mg/kg/dia ou SMZ-TMP 20+4 mg/kg/dia à noite (>6 semanas); cefalexina 20 mg/kg/dia se <6 semanas."
Assistência ao recém-nascido em sala de parto e reanimação neonatal,EISCA,Neonatologia,I_UNIDADE,alta,media,alto,True,2_AssistA_ncia_ao_recA_m_nascido_na_sala_de_parto__dfb24bd2f9|Anotac_o_es_assiste_ncia_ao_RN_doc__9ec202f090|Assiste_ncia_ao_RN_pdf__bc4a064524,"FATO (li integralmente o resumo de Bianca Santos): 3 perguntas iniciais (termo? respirando/chorando? tônus bom?); passos iniciais em 30s; VPP no primeiro minuto ('minuto de ouro'); VPP inicial com ar ambiente 21% se >=34 semanas, 30% se <34 semanas; oxímetro sempre em MSD (pré-ductal); PEEP 4-6, PInsp 20-25, fluxo 5-15 L/min; 40-60 mov/min; MC no terço inferior do esterno, 3:1 (90 compressões / 30 ventilações); adrenalina diluída 1:10 — 1ª dose 0,1-0,3 mL/kg IV ou 0,5-1 mL/kg ET (só a primeira pode ser ET), subsequentes 0,3 mL/kg IV a cada 3-5 min; expansor SF 0,9% 10 mL/kg. Apgar NÃO determin"
Icterícia neonatal e hiperbilirrubinemia indireta,EISCA,Neonatologia,III_UNIDADE,alta,forte,alto,False,Icteri_cia_Neonatal__7310cb4e44|Icteri_cianeonatal2021_Joa_o_Medeiros__e4f2f5101b,"FATO: icterícia <24h de vida é SEMPRE patológica (investigar tipagem+Rh, Coombs direto, HMG+reticulócitos, morfologia, bilirrubinas). Critérios de exclusão de fisiológica: incremento >5 mg/dL/dia; BT >12,9 (RNT) ou >15 (RNPT); BD >1,5-2; duração >7d (RNT) ou >15d (RNPT). Zonas de Kramer com faixas de BT. Encefalopatia em 4 fases. Colestática: BD >2 mg/dL ou >20% da BT — atresia de vias biliares exige diagnóstico ANTES de 8 semanas para Kasai oportuna. Tabela de fototerapia/EXT por peso em RNPT (Martin & Cloherty 2004 — fonte antiga, ver conflitos)."
Semiologia e classificação do recém-nascido,EISCA,Neonatologia,I_UNIDADE,alta,media,medio,True,Anotac_o_es_semiologia_do_RN__c853869a1c|Pediatria_SEMIOLOGIA_DO_RECEe_M__816c7efb84|Semiologia_do_RN_pdf__1c3f4c12c9|Semiologia_em_Neo_pdf__30250c5805,"FATO: classificação por peso (BP <2500, MBP <1500, EBP <1000, macrossômico >4000g) e por peso/IG (PIG <P10, AIG P10-P90, GIG >P90) é IDÊNTICA nas três fontes. CONFLITO na definição de 'a termo' entre as fontes — ver conflitos. Semiologia_em_Neo traz peculiaridades fisiológicas (75% do peso do RNT é água). | FATO: cobre 0–28 dias, pré/a/pós-termo, curvas de crescimento intrauterino (P10/P90), peso, peculiaridades fisiológicas, anamnese, exame físico segmentar (crânio, face, tórax), reflexos arcaicos."
Doença hemolítica perinatal (incompatibilidade Rh e ABO),EISCA,Neonatologia / Hematologia pediátrica,III_UNIDADE,alta,media,alto,False,Doenc_a_Hemoli_tica_do_Rece_m_nascido__ee5bcbbd06|Icteri_cianeonatal2021_Joa_o_Medeiros__e4f2f5101b,"FATO: antígenos ABO e Rh respondem por 98%, atípicos 2%. DH-ABO: icterícia precoce, esferocitose, Coombs direto FRACAMENTE positivo no cordão, hepatoesplenomegalia pouco comum, sem hydrops. DHPN-Rh: formas anêmica, ictérica e hidrópica; investigar sangue do cordão (tipagem, Ht/Hb, reticulócitos, Coombs direto, bilirrubinas). Objetivos da EXT: corrigir anemia, remover anticorpos circulantes, remover BI em excesso."
Humanização em UTI neonatal,EISCA,Neonatologia / Humanidades médicas,A_DEFINIR,baixa,media,baixo,False,HUMANIZAC_A_O_NA_UTI__0ffaa0c1aa,"FATO: aborda o luto do 'filho idealizado' vs nascimento de bebê de risco, distanciamento pais-filho na internação. Não traz Método Canguru estruturado por etapas — se o professor cobrar as três etapas do Método Canguru (portaria MS), é LACUNA."
Sepse neonatal e meningite neonatal,EISCA,Neonatologia / Infectologia pediátrica,A_DEFINIR,alta,media,alto,False,Sepse_e_meningite_neonatal_1___3f944eba57|Sepse_e_meningite_neonatal__1057d8e64e,"FATO: precoce <72h (fatores gestação/parto; 62% Gram+ dos quais 43% GBS; 37% Gram- dos quais 29% E. coli); tardia >72h (hospitalar; 79% Gram+ Staph. epidermidis/aureus, 12% Gram- multirresistentes, 6% fungos). Fatores de risco da precoce: mãe colonizada por GBS (>25% de risco), corioamnionite, RPM >=18h (4x mais chance). GBS: mortalidade 20-30%, 15-30% de sequela neurológica nos sobreviventes com meningite. Os dois resumos são versões diferentes da mesma aula (5758 e 7527 chars), não duplicata exata."
Convulsão febril,EISCA,Neurologia pediátrica / Emergência pediátrica,A_DEFINIR,media,media,alto,False,Pediatria_CONVULSA_O_FEBRIL__c54cea60f1,"FATO: 6 meses a 5 anos, pico 14-18 meses; simples = generalizada E <15min E não recorre em 24h E neuro prévio normal (80% dos casos); complexa = QUALQUER UM de focal OU >15min OU recorre em 24h OU alteração focal pós-ictal (20%). Indicações de PUNÇÃO LOMBAR: sinais meníngeos, <12 meses, 12-18 meses a critério, crise complicada, distúrbio de consciência, uso prévio de ATB, toxemia. CONTRAINDICAÇÕES DE PL (item de risco máximo): Glasgow <12, choque séptico, suspeita de meningococcemia com sinais hemorrágicos, sinais de HIC (risco de herniação), distúrbio de coagulação. Diazepam 0,3 mg/kg IV ou 0"
Saúde ocular na infância,EISCA,Oftalmologia,II_UNIDADE,alta,forte,alto,False,APOSTILA_SA_II_P7___e43cc7bc21|Doen_a_Ocular_na_Inf_ncia__f839704b20|Doen_as_oculares_na_inf_ncia__29f506fffa|Doenc_a_Ocular_na_infa_ncia_pdf__26696f6e19|Slide_Doen_a_Ocular_na_inf_ncia___e681e43aa9,Erro que mata: leucocoria = retinoblastoma até prova em contrário. Ponte com EISCA (pediatria).
Neuroblastoma,EISCA,Oncologia pediátrica,II_UNIDADE,alta,fraca,medio,False,Neuroblastoma__97ea516ab3|Neuroblastoma__c984597fac,"O .txt tem 2302 chars mas é OCR de anotação MANUSCRITA, ininteligível ('Sensec tuna sólido', 'veroblem'). NÃO usar como fonte sob nenhuma hipótese. PENDENTE VISÃO obrigatória. Só é possível inferir do ruído que a aula compara neuroblastoma x Wilms e menciona catecolaminas — inferência frágil, não fato. | Provavelmente pertence a EISCA (o próprio cabeçalho diz 'MD VII – Oncologia (SC)' = Saúde da Criança). Sugiro realocar."
